2,10,1.340819e+01
4,10,4.586508e+00
8,10,4.572452e+00
2,100,1.531834e+01
4,100,1.047713e+01
8,100,5.240453e+00
2,1000,1.188665e+01
4,1000,1.035100e+01
8,1000,6.714028e+00
2,10000,9.087756e+00
4,10000,6.849946e+00
8,10000,8.660266e+00
2,100000,2.242287e+01
4,100000,1.387665e+01
8,100000,1.651145e+01
2,1000000,1.603497e+02
4,1000000,9.633325e+01
8,1000000,9.424306e+01

2,10,1.382770e+01
4,10,5.079841e+00
8,10,6.388454e+00
2,100,1.522139e+01
4,100,7.156513e+00
8,100,5.226081e+00
2,1000,1.218670e+01
4,1000,7.452967e+00
8,1000,5.862056e+00
2,10000,9.972182e+00
4,10000,8.466219e+00
8,10000,1.189531e+01
2,100000,2.385455e+01
4,100000,1.455183e+01
8,100000,1.750722e+01
2,1000000,1.645509e+02
4,1000000,1.078098e+02
8,1000000,9.713943e+01
2,10,1.387410e+01
4,10,8.644858e+00
8,10,6.751212e+00
2,100,1.341972e+01
4,100,1.309258e+01
8,100,6.987362e+00
2,1000,1.079374e+01
4,1000,8.597423e+00
8,1000,6.216036e+00
2,10000,9.447735e+00
4,10000,6.433172e+00
8,10000,7.729063e+00
2,100000,2.248353e+01
4,100000,1.340755e+01
8,100000,1.617127e+01
2,1000000,1.638894e+02
4,1000000,9.856401e+01
8,1000000,9.702330e+01
2,10,1.362233e+01
4,10,4.937187e+00
8,10,4.896947e+00
2,100,1.442266e+01
4,100,5.178502e+00
8,100,7.760025e+00
2,1000,8.881761e+00
4,1000,8.498522e+00
8,1000,5.745129e+00
2,10000,8.698237e+00
4,10000,8.691395e+00
8,10000,1.034160e+01
2,100000,2.264830e+01
4,100000,1.434353e+01
8,100000,1.717644e+01
2,1000000,1.641003e+02
4,1000000,9.768835e+01
8,1000000,9.535837e+01
2,10,1.353291e+01
4,10,4.910051e+00
8,10,6.590564e+00
2,100,1.374654e+01
4,100,9.692414e+00
8,100,6.024317e+00
2,1000,1.135807e+01
4,1000,1.052128e+01
8,1000,5.550874e+00
2,10000,9.089179e+00
4,10000,7.357859e+00
8,10000,1.193096e+01
2,100000,2.248712e+01
4,100000,1.470525e+01
8,100000,1.675853e+01
2,1000000,1.636768e+02
4,1000000,9.884142e+01
8,1000000,9.676229e+01
2,10,1.135988e+01
4,10,1.175241e+01
8,10,5.641551e+00
2,100,1.360402e+01
4,100,5.526459e+00
8,100,5.434190e+00
2,1000,1.125732e+01
4,1000,6.486418e+00
8,1000,5.571408e+00
2,10000,9.665757e+00
4,10000,8.390716e+00
8,10000,1.061724e+01
2,100000,2.173621e+01
4,100000,1.337067e+01
8,100000,1.700446e+01
2,1000000,1.638397e+02
4,1000000,9.827976e+01
8,1000000,9.701817e+01
2,10,1.377973e+01
4,10,6.096111e+00
8,10,5.762341e+00
2,100,1.296328e+01
4,100,7.585507e+00
8,100,6.242937e+00
2,1000,9.726088e+00
4,1000,7.860533e+00
8,1000,5.479437e+00
2,10000,8.932975e+00
4,10000,9.595915e+00
8,10000,9.560923e+00
2,100000,2.197857e+01
4,100000,1.345296e+01
8,100000,1.743069e+01
2,1000000,1.641739e+02
4,1000000,9.815547e+01
8,1000000,9.736536e+01
2,10,1.442720e+01
4,10,4.998780e+00
8,10,4.997423e+00
2,100,1.470542e+01
4,100,5.263654e+00
8,100,5.196836e+00
2,1000,1.105096e+01
4,1000,6.862089e+00
8,1000,5.812892e+00
2,10000,9.148570e+00
4,10000,8.719005e+00
8,10000,9.400710e+00
2,100000,2.234760e+01
4,100000,1.467395e+01
8,100000,1.735576e+01
2,1000000,1.642686e+02
4,1000000,9.800675e+01
8,1000000,9.674296e+01
2,10,1.293862e+01
4,10,9.656299e+00
8,10,5.531498e+00
2,100,1.377711e+01
4,100,5.071623e+00
8,100,5.184683e+00
2,1000,1.085828e+01
4,1000,1.148617e+01
8,1000,7.146397e+00
2,10000,9.529557e+00
4,10000,8.286283e+00
8,10000,9.699275e+00
2,100000,2.180469e+01
4,100000,1.554788e+01
8,100000,1.755827e+01
